Trace
Swept SA
A.10.52,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,1000000
Stop Frequency,80000000
Average Count,0
Average Type,LogPower(Video)
RBW,750000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,750000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000,-28.5445430370029
1079000,-32.5276840013167
1158000,-37.0104194197671
1237000,-41.9783185258484
1316000,-47.4265526690959
1395000,-53.5502372769614
1474000,-60.3404174100556
1553000,-67.3776456686011
1632000,-72.6611400584628
1711000,-75.1035005676664
1790000,-75.8914330230933
1869000,-75.7310932851559
1948000,-74.7607701037333
2027000,-76.1145464844682
2106000,-76.6344649479103
2185000,-77.1222981352075
2264000,-77.7168812093391
2343000,-78.1091879580661
2422000,-78.5721410595794
2501000,-78.5645392055734
2580000,-79.429056466914
2659000,-79.7192263794845
2738000,-79.973822086509
2817000,-79.0491746632084
2896000,-79.4517661119468
2975000,-80.6641395286993
3054000,-80.0625961019512
3133000,-81.2425312133867
3212000,-79.9617035756668
3291000,-80.7566625906326
3370000,-80.7798342257745
3449000,-81.2414529598666
3528000,-81.4126621868284
3607000,-80.8322364837098
3686000,-80.4973287526845
3765000,-80.9484555156833
3844000,-81.5241590930487
3923000,-81.294336830743
4002000,-81.8266342613115
4081000,-81.833020653016
4160000,-82.344967575302
4239000,-81.9802109799086
4318000,-82.1970707982884
4397000,-82.6176157075525
4476000,-82.7105389420471
4555000,-82.3765219066044
4634000,-82.3549762282173
4713000,-82.7354709311382
4792000,-82.6471001080932
4871000,-82.1136226496208
4950000,-81.8330820738223
5029000,-82.2879299663578
5108000,-82.2557671002653
5187000,-82.7247684624579
5266000,-82.127595777792
5345000,-82.6568527974584
5424000,-82.5700075485629
5503000,-82.3384685383879
5582000,-82.6298237105365
5661000,-82.5593205840517
5740000,-82.023376563058
5819000,-82.2872737614648
5898000,-82.4700396439537
5977000,-82.6482564876906
6056000,-82.5238645166513
6135000,-82.686306174553
6214000,-82.2273405577009
6293000,-82.5017172179058
6372000,-82.6846828961753
6451000,-82.0022066809501
6530000,-83.0896440280228
6609000,-81.9085395670792
6688000,-83.1200207600146
6767000,-82.9695467141603
6846000,-82.6496706796797
6925000,-82.4652430243191
7004000,-82.9431855770107
7083000,-82.5105268859108
7162000,-82.8710921725096
7241000,-82.4045465746663
7320000,-83.0136909972595
7399000,-83.0969529072368
7478000,-83.0794316067242
7557000,-83.3827503865098
7636000,-82.2582695767744
7715000,-82.2990560012335
7794000,-82.5633036865323
7873000,-82.4756607623578
7952000,-82.9455545914374
8031000,-82.6907386426216
8110000,-82.426870886646
8189000,-83.4714500819691
8268000,-83.3884585835505
8347000,-82.7506244894232
8426000,-82.6705761388857
8505000,-82.5159518178231
8584000,-82.9144300355677
8663000,-83.951440762448
8742000,-83.0937533755368
8821000,-83.5464083156654
8900000,-83.4507018668759
8979000,-82.7326562564332
9058000,-83.1145187363023
9137000,-83.4413838337023
9216000,-83.4497059196222
9295000,-83.1119700415406
9374000,-83.085053986132
9453000,-83.2767431156588
9532000,-83.3312318848886
9611000,-83.2506088134981
9690000,-82.7682635895773
9769000,-82.4573751097052
9848000,-82.7961446969541
9927000,-83.2341990616934
10006000,-83.9335763171751
10085000,-83.6280642413476
10164000,-82.6335236348492
10243000,-82.4938910511714
10322000,-83.6948817280345
10401000,-83.1916079417874
10480000,-82.6831423393641
10559000,-83.4490061893524
10638000,-82.8665568862573
10717000,-83.8396226199166
10796000,-83.2495574731553
10875000,-82.6197252738143
10954000,-83.8684184614792
11033000,-82.8257350507164
11112000,-83.3812011323137
11191000,-83.5027329467577
11270000,-82.6349339764285
11349000,-82.555118992129
11428000,-83.6794060416875
11507000,-83.7203912616089
11586000,-83.8202891933299
11665000,-83.5622512959428
11744000,-84.1638642560273
11823000,-82.8630168472994
11902000,-83.3245017344335
11981000,-82.9094175654531
12060000,-83.308309415474
12139000,-83.8828568395243
12218000,-84.0447402137833
12297000,-82.8390687010845
12376000,-83.2768236603456
12455000,-83.4977104615274
12534000,-83.2290701828039
12613000,-82.7715258850627
12692000,-83.2859899015172
12771000,-82.9731111913925
12850000,-83.2186813322508
12929000,-83.294260055011
13008000,-82.7935075984675
13087000,-83.0446402077836
13166000,-82.9036596298803
13245000,-83.3683496498157
13324000,-83.6073712432238
13403000,-83.1918667178435
13482000,-83.1043320074637
13561000,-82.8916402060187
13640000,-82.5617676725216
13719000,-83.2748579763127
13798000,-83.3335042337484
13877000,-83.2466785785286
13956000,-83.4567461711786
14035000,-83.7604048522757
14114000,-83.5538781783433
14193000,-83.2977108473282
14272000,-83.5785262722558
