Trace
Swept SA
A.10.52,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.002266666667
Start Frequency,1000000
Stop Frequency,20000000
Average Count,0
Average Type,LogPower(Video)
RBW,180000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,180000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000,-77.9011275554207
1019000,-77.7470022922312
1038000,-78.0596669487619
1057000,-77.8196961407785
1076000,-78.1943090618671
1095000,-78.4336442884848
1114000,-78.839122773554
1133000,-78.7585240214608
1152000,-78.2849109496765
1171000,-77.7757751168308
1190000,-78.0915724066271
1209000,-78.9857185196779
1228000,-80.1567725337117
1247000,-79.4092209647311
1266000,-78.0700569766362
1285000,-79.3237307874926
1304000,-80.0195378792439
1323000,-80.0843026358527
1342000,-79.8530398274897
1361000,-79.5892453799187
1380000,-80.2882015461721
1399000,-79.5893089607032
1418000,-79.4944165771
1437000,-80.0841511141293
1456000,-79.6346483695699
1475000,-79.8094334211926
1494000,-80.0395223403756
1513000,-80.7078215288864
1532000,-81.005597197282
1551000,-81.2937596230565
1570000,-81.4088804183999
1589000,-81.3887076866503
1608000,-81.6649873352513
1627000,-81.3873494539815
1646000,-82.0398247538648
1665000,-81.9858969140504
1684000,-81.2777925458235
1703000,-81.7120953061018
1722000,-81.6836523559328
1741000,-81.8742402829179
1760000,-82.5275790656685
1779000,-82.3779856489697
1798000,-81.8971126598454
1817000,-82.1197951653845
1836000,-82.070248912222
1855000,-81.7946765648018
1874000,-81.9476482534913
1893000,-82.2824879011822
1912000,-83.4023741841022
1931000,-83.0712434539854
1950000,-83.32641456631
1969000,-83.2477197886107
1988000,-82.9025425210192
2007000,-83.9462197416095
2026000,-83.8877843381369
2045000,-82.9785655458458
2064000,-83.7863606668
2083000,-83.9034867062255
2102000,-83.768403499963
2121000,-83.7195294523102
2140000,-85.2078065348862
2159000,-84.6600314419568
2178000,-84.4616582332818
2197000,-84.9811518287894
2216000,-84.9459521712291
2235000,-83.5312039527733
2254000,-84.0864409775758
2273000,-84.9946304068639
2292000,-84.8445057704848
2311000,-84.7448986882494
2330000,-85.2499359031433
2349000,-84.4928719401003
2368000,-84.3993450286652
2387000,-85.0165932203871
2406000,-85.1991460955465
2425000,-84.6550500962933
2444000,-85.7310913799842
2463000,-85.8600169562432
2482000,-86.4922544942786
2501000,-87.0004597909455
2520000,-86.6984103610068
2539000,-86.2605541105093
2558000,-85.9889038613924
2577000,-85.9132951491585
2596000,-86.3693712327281
2615000,-86.9841811003981
2634000,-87.3202956775982
2653000,-86.0542603037368
2672000,-85.9524720617585
2691000,-86.0784193789473
2710000,-86.2192058208543
2729000,-87.2415059222332
2748000,-87.6471864351003
2767000,-87.0444994981306
2786000,-86.5102649211743
2805000,-86.6320177165229
2824000,-86.5159051316193
2843000,-86.3270493959488
2862000,-86.2417550387891
2881000,-86.8143299697687
2900000,-86.3499946135651
2919000,-86.9695357049443
2938000,-87.1974570769875
2957000,-87.1512709685078
2976000,-87.5760793124324
2995000,-86.8152924042837
3014000,-86.0566778307524
3033000,-86.4147726052067
3052000,-86.5220408473972
3071000,-87.6640733460738
3090000,-85.9794841910222
3109000,-86.6154873852593
3128000,-87.2766064350585
3147000,-87.4902017117508
3166000,-86.7848841269998
3185000,-86.7830370449342
3204000,-86.4022980392997
3223000,-86.3095606769972
3242000,-87.6257565804726
3261000,-86.9167804793169
3280000,-86.2548851264589
3299000,-86.5803763355692
3318000,-87.3281296413276
3337000,-87.778860733601
3356000,-87.1725622790306
3375000,-87.0310148296503
3394000,-87.1217959943941
3413000,-87.3665418923264
3432000,-87.3152199007914
3451000,-87.2467711048207
3470000,-86.5477540171201
3489000,-86.9808127563658
3508000,-87.7273474168423
3527000,-88.3273777392543
3546000,-87.1433223985359
3565000,-87.5053878805731
3584000,-87.6830681608601
3603000,-87.113703693708
3622000,-86.8092433211409
3641000,-87.498217973772
3660000,-86.7908718389292
3679000,-87.3433331926108
3698000,-87.6882019985854
3717000,-87.7547383090008
3736000,-87.6180865686587
3755000,-87.2661618999434
3774000,-87.9386366009461
3793000,-88.0016509019281
3812000,-87.8311108017543
3831000,-88.0855706337984
3850000,-88.427324241123
3869000,-87.6291638023511
3888000,-87.2833849331507
3907000,-87.4089284424738
3926000,-88.2825307153224
3945000,-87.5299762786359
3964000,-87.492636407757
3983000,-88.1984212467497
4002000,-88.1380892405123
4021000,-87.4792855813401
4040000,-88.2694149918589
4059000,-87.7934909066342
4078000,-86.9329775004056
4097000,-87.6080284650509
4116000,-87.6980833804844
4135000,-87.712289505079
4154000,-87.7519409047765
4173000,-87.9511438817669
4192000,-88.4992845071117
