Trace
Swept SA
A.10.52,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,1000000
Stop Frequency,1280000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000,-7.21218762570259
2279000,-11.2760349939269
3558000,-20.4189155860052
4837000,-34.8851727210843
6116000,-57.5514834370599
7395000,-76.0418032144366
8674000,-77.1981631417361
9953000,-76.4848722201015
11232000,-76.8356933089158
12511000,-77.0514139893381
13790000,-77.0191512859775
15069000,-76.6043282351917
16348000,-77.0847268850265
17627000,-77.3154817634699
18906000,-77.6809882188046
20185000,-76.9247750904907
21464000,-77.0744311655844
22743000,-77.3863048466345
24022000,-77.6876940824937
25301000,-77.3400029034319
26580000,-77.1832721304438
27859000,-76.7180637933509
29138000,-77.9797620115163
30417000,-76.9428728621839
31696000,-77.5168893526893
32975000,-77.3467322348397
34254000,-77.6833468394702
35533000,-77.1788680987817
36812000,-77.0587777557051
38091000,-77.326997412718
39370000,-76.7936661703384
40649000,-76.7078218230163
41928000,-77.6341466209684
43207000,-77.0875211233776
44486000,-77.1180268413635
45765000,-76.971014936066
47044000,-77.0112320253482
48323000,-78.0237608870813
49602000,-77.4127074555712
50881000,-77.1512308819865
52160000,-77.5748948765537
53439000,-78.21954566909
54718000,-78.0162539663495
55997000,-76.9810551349261
57276000,-77.324662418443
58555000,-77.9969089781555
59834000,-77.150570421826
61113000,-77.281248493643
62392000,-77.5982193722977
63671000,-77.2309645998503
64950000,-77.5782043705796
66229000,-77.6682378985126
67508000,-77.2616359517923
68787000,-77.4073311546342
70066000,-77.7728732087398
71345000,-77.2952825889103
72624000,-77.3598027072753
73903000,-77.4582443650303
75182000,-77.2704637446952
76461000,-77.9776829111406
77740000,-76.6449209822066
79019000,-77.0025763514285
80298000,-77.908462988529
81577000,-77.142930404062
82856000,-78.2574255566072
84135000,-76.8517605080609
85414000,-76.753017359796
86693000,-77.7895232347657
87972000,-77.6294358096058
89251000,-76.908854770636
90530000,-76.6451419463008
91809000,-76.8898197350565
93088000,-78.0075235234726
94367000,-76.7351198229942
95646000,-77.8372245513609
96925000,-78.0882258635832
98204000,-77.6403536903303
99483000,-77.1448792960927
100762000,-77.7943469882112
102041000,-78.1104870759547
103320000,-78.0685761284843
104599000,-77.406775780823
105878000,-77.3710469648699
107157000,-77.8367829529109
108436000,-76.9841241474777
109715000,-77.2097677552497
110994000,-77.8407640899818
112273000,-76.590534131585
113552000,-77.3279543201908
114831000,-78.3939483140077
116110000,-77.5933370529465
117389000,-78.4268511692814
118668000,-78.2694313241853
119947000,-77.3947562359071
121226000,-76.5049891061491
122505000,-77.4825154051462
123784000,-77.2991316166589
125063000,-77.2152863714611
126342000,-77.7368668172542
127621000,-78.1276887354805
128900000,-77.5003096148806
130179000,-76.8166977453729
131458000,-77.5300200601853
132737000,-76.6759874743405
134016000,-76.5720136865983
135295000,-76.4997755225608
136574000,-77.3137279150967
137853000,-76.7482755351749
139132000,-76.4507609718629
140411000,-77.0878433576867
141690000,-77.4729323392285
142969000,-76.9319663078816
144248000,-77.1296608838663
145527000,-76.9107767521047
146806000,-76.8571882785458
148085000,-77.0624660326754
149364000,-77.8954955617372
150643000,-77.0864493469248
151922000,-75.965228684754
153201000,-76.7369944702345
154480000,-77.010748753601
155759000,-75.7051269188278
157038000,-77.3288838748704
158317000,-76.839607651014
159596000,-77.7263624818245
160875000,-77.3361676497236
162154000,-76.4410188200397
163433000,-76.6714000337076
164712000,-77.5106836039395
165991000,-76.407821289768
167270000,-76.1208596879468
168549000,-76.3835100842322
169828000,-76.3089289220316
171107000,-75.9572604088184
172386000,-76.3899048329505
173665000,-76.4397633573654
174944000,-76.8524455678179
176223000,-76.4258666140025
177502000,-76.7193345008687
178781000,-75.8070978970839
180060000,-76.4377298741291
181339000,-76.0659358339903
182618000,-77.4360990593296
183897000,-76.0416677398482
185176000,-76.4071307927973
186455000,-77.2532168555444
187734000,-76.5508729624637
189013000,-76.7596297890406
190292000,-75.6979511766489
191571000,-76.6500992443297
192850000,-76.5935908199361
194129000,-75.899310110865
195408000,-76.1212723878787
196687000,-76.807432534146
197966000,-76.4418649143271
199245000,-77.128062965994
200524000,-75.648211667242
201803000,-76.6815096609978
203082000,-76.2766887014815
204361000,-76.290745406957
205640000,-76.0162414474617
206919000,-76.8178659337676
208198000,-76.8546137134919
209477000,-75.9608444533896
210756000,-76.376765061849
212035000,-76.1628516770279
213314000,-77.0034393889758
214593000,-76.9998418443855
215872000,-76.6874571102751
