Trace
Swept SA
A.10.52,N9000A
503 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,1000000
Stop Frequency,160000000
Average Count,0
Average Type,LogPower(Video)
RBW,1500000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,1500000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000,-11.6809048159597
1159000,-13.5068872505222
1318000,-15.6555294412086
1477000,-18.1394845692011
1636000,-20.9816059066347
1795000,-24.2078909542216
1954000,-27.8545915404691
2113000,-31.9242743814442
2272000,-36.4961904242779
2431000,-41.6409553951344
2590000,-47.3889566190759
2749000,-53.8838191046803
2908000,-61.1164622272594
3067000,-69.6347624741388
3226000,-75.6771050256419
3385000,-77.3699322954406
3544000,-78.091470471271
3703000,-77.899723964023
3862000,-78.9815173931721
4021000,-78.8777977612229
4180000,-79.4147302332602
4339000,-79.7456851481336
4498000,-79.1757324187119
4657000,-79.4818425472501
4816000,-79.4723854851556
4975000,-79.4599153866209
5134000,-79.4970029947848
5293000,-79.3931329776246
5452000,-79.3175150139596
5611000,-79.8753195133325
5770000,-79.4548953854763
5929000,-79.4973473011381
6088000,-80.1396903116868
6247000,-80.518622368225
6406000,-80.1831996406606
6565000,-80.3669952887934
6724000,-80.9743298107107
6883000,-78.9105687812677
7042000,-80.0150903616133
7201000,-80.0127335712332
7360000,-79.800956016187
7519000,-79.2967873298315
7678000,-79.7696655084409
7837000,-79.7502266719675
7996000,-79.1863584520291
8155000,-79.5919351769271
8314000,-79.777011863416
8473000,-80.5089065239658
8632000,-81.0211384540907
8791000,-79.8432997765893
8950000,-80.5118876570971
9109000,-80.0863166398619
9268000,-80.1579406486579
9427000,-80.9015872523173
9586000,-79.6963978509079
9745000,-80.1034923189521
9904000,-80.3342886096469
10063000,-80.1340557950413
10222000,-80.294825399809
10381000,-80.0836303302553
10540000,-81.1792550803391
10699000,-79.9475721563435
10858000,-79.7707931030391
11017000,-78.9232556290561
11176000,-80.5894227110407
11335000,-80.59751523024
11494000,-80.4441694551314
11653000,-79.7943696678995
11812000,-79.9793456560939
11971000,-80.4468536360139
12130000,-80.4424169473163
12289000,-80.5705138963084
12448000,-80.8131928647727
12607000,-79.8062937707164
12766000,-80.8645775718039
12925000,-80.1915493878661
13084000,-79.9684184865747
13243000,-80.1010006708274
13402000,-79.8717261505457
13561000,-79.920969917604
13720000,-80.1544242868012
13879000,-80.4740588141256
14038000,-80.9375333898546
14197000,-79.3164784677127
14356000,-80.3720020774529
14515000,-80.1389974595221
14674000,-79.9478167884294
14833000,-79.8698011415495
14992000,-80.1802638919933
15151000,-79.4574606954414
15310000,-79.8836543531244
15469000,-79.9996416321104
15628000,-79.0662533666812
15787000,-79.5327740626798
15946000,-80.0769079005419
16105000,-80.682632883027
16264000,-80.1287829498801
16423000,-81.501065688288
16582000,-80.4278036994545
16741000,-79.9182445449319
16900000,-80.167170303281
17059000,-79.992122074153
17218000,-80.8585129669867
17377000,-80.0283987048619
17536000,-80.3258452142653
17695000,-81.063454506886
17854000,-80.5867222955661
18013000,-79.6745862577091
18172000,-80.998099420332
18331000,-80.198939818459
18490000,-80.6039216969483
18649000,-80.7952005868053
18808000,-80.4492492989281
18967000,-80.268494041432
19126000,-79.9417310493569
19285000,-80.0217365535255
19444000,-80.4201793431668
19603000,-79.9635246795225
19762000,-79.912318734157
19921000,-80.8409198182679
20080000,-81.5172347314895
20239000,-79.9983209300389
20398000,-80.7405758798733
20557000,-79.8916391290953
20716000,-80.2529165091041
20875000,-80.2151055070954
21034000,-80.3018840935188
21193000,-80.5546253101495
21352000,-80.5365075742562
21511000,-80.2877306158018
21670000,-80.1947570332093
21829000,-79.8014993070463
21988000,-80.1229846392057
22147000,-79.9843457180441
22306000,-80.2892408923445
22465000,-80.7233496248153
22624000,-80.2310150108779
22783000,-80.0239697735673
22942000,-80.5085245583505
23101000,-80.2638542867129
23260000,-80.5293223788436
23419000,-80.5274211836878
23578000,-80.0786947699119
23737000,-80.4620769416923
23896000,-80.9805930497678
24055000,-80.6226362653872
24214000,-79.8762629703157
24373000,-80.4997530683917
24532000,-80.529824336505
24691000,-80.4295814368389
24850000,-80.624177277756
25009000,-80.2837637225753
25168000,-80.613500441068
25327000,-80.0823716328898
25486000,-79.6529036797978
25645000,-79.9071235736805
25804000,-80.2855319576336
25963000,-80.3943002319875
26122000,-80.6172926525049
26281000,-79.9907510422422
26440000,-80.8019022654387
26599000,-79.6507195722355
26758000,-80.1827734887027
26917000,-81.2005647013184
27076000,-80.6277441422469
27235000,-80.2940085782912
27394000,-80.7345481370269
27553000,-81.1165295750114
27712000,-79.9017155294417
